Qubit,T1 (us),T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rz Error,rx Error,Gate Length (ns),cz Error,rzz Error
72,137.86527573593077,56.73050096142129,0.018310546875,0.001953125,36,0.0008038568749588282,0.0008038568749588282,0,0.0008038568749588282,73:68;71:68,73:0.0023776547312404084;71:0.003572758621648353,73:0.003121187767031436;71:0.002347428197513851
73,167.401985170709,95.27788665879397,0.03564453125,0.0009765625,36,0.0005032199779168955,0.0005032199779168955,0,0.0005032199779168955,72:68;74:68;79:68,72:0.0023776547312404084;74:0.002440605507032928;79:0.001917508040929411,72:0.003121187767031436;74:0.002621696932315759;79:0.0012164987731841936
74,160.5171698576146,11.49083536688677,0.027587890625,0.009033203125,36,0.000392140459624393,0.000392140459624393,0,0.000392140459624393,73:68;75:68,73:0.002440605507032928;75:0.0023183758233687735,73:0.002621696932315759;75:0.0023670496202895797
75,277.9863080319266,146.03936097585492,0.005615234375,0.0009765625,36,0.00016134711854855864,0.00016134711854855864,0,0.00016134711854855864,59:68;74:68,59:0.0014460177913153682;74:0.0023183758233687735,59:0.0018830164602325894;74:0.0023670496202895797
76,118.80159294586647,46.388648478528324,0.01220703125,0.007568359375,36,0.00022078496266919655,0.00022078496266919655,0,0.00022078496266919655,81:68;61:68,81:0.0022860641262324455;61:0.0019220285696018857,81:0.0025233890593356068;61:0.0023847326078840214
77,117.16154875817782,58.034222511179756,0.013427734375,0.003662109375,36,0.0011169268240346618,0.0011169268240346618,0,0.0011169268240346618,85:68;65:68,85:0.0026496955537421707;65:0.0022045129778301975,85:0.002795109188153011;65:0.0020022044245742443
78,123.38957694229782,92.35437966092354,0.01318359375,0.00390625,36,0.00018758550810593579,0.00018758550810593579,0,0.00018758550810593579,69:68;89:68,69:0.0018148335234815793;89:0.0019243249246530814,69:0.0017938110438102672;89:0.0018013870215818906
79,109.73754870641658,36.18825402815913,0.081787109375,0.07177734375,36,0.00029708467333175925,0.00029708467333175925,0,0.00029708467333175925,93:68;73:68,93:0.002903431527026712;73:0.001917508040929411,93:0.0026910701332310827;73:0.0012164987731841936
80,190.17909922630145,24.624143116084763,0.011962890625,0.001708984375,36,0.0003846369137756036,0.0003846369137756036,0,0.0003846369137756036,81:68,81:0.004669631688489578,81:0.003174356398131184
81,160.44690613245538,172.30931240584897,0.0341796875,0.001953125,36,0.0003421790789091193,0.0003421790789091193,0,0.0003421790789091193,80:68;82:68;76:68,80:0.004669631688489578;82:0.09323549120560648;76:0.0022860641262324455,80:0.003174356398131184;82:1;76:0.0025233890593356068
82,6.547268098197537,6.440762177221647,0.443359375,0.197021484375,36,1,1,0,1,81:68;83:68,81:0.09323549120560648;83:1,81:1;83:0.001200718994030514
83,175.05526004149462,142.5505910986662,0.159912109375,0.03955078125,36,0.0003994085728695528,0.0003994085728695528,0,0.0003994085728695528,96:68;82:68;84:68,96:0.006754141154095061;82:1;84:0.0028796826155672306,96:0.0051944431252024525;82:0.001200718994030514;84:0.0029816190832630818
84,170.6493524807463,157.0017595587871,0.0185546875,0.015625,36,0.00045649394971967794,0.00045649394971967794,0,0.00045649394971967794,83:68;85:68,83:0.0028796826155672306;85:0.0030005158808552868,83:0.0029816190832630818;85:0.0026760512142488535
85,156.96815485736212,98.06592270772113,0.00830078125,0.00439453125,36,0.00030015470552504194,0.00030015470552504194,0,0.00030015470552504194,77:68;86:68;84:68,77:0.0026496955537421707;86:0.002634738600002462;84:0.0030005158808552868,77:0.002795109188153011;86:0.013951207475560834;84:0.0026760512142488535
86,264.83370213833655,51.50404311118555,0.020263671875,0.001953125,36,0.0003583595627332842,0.0003583595627332842,0,0.0003583595627332842,85:68;87:68,85:0.002634738600002462;87:0.0016884502693958192,85:0.013951207475560834;87:0.009354679161795582
87,168.77115831006896,135.11855710574343,0.009765625,0.00244140625,36,0.00041072770288777397,0.00041072770288777397,0,0.00041072770288777397,86:68;88:68;97:68,86:0.0016884502693958192;88:0.0016328932415473618;97:0.002397663094656999,86:0.009354679161795582;88:0.0016053531509027108;97:0.00190867388890692
88,273.161729843944,183.08274444878677,0.02587890625,0.01171875,36,0.0008331835357521121,0.0008331835357521121,0,0.0008331835357521121,87:68;89:68,87:0.0016328932415473618;89:0.0011561069835334947,87:0.0016053531509027108;89:0.0012356923881836346
89,194.46973551939774,230.29372799589987,0.03125,0.002685546875,36,0.00019797675246020817,0.00019797675246020817,0,0.00019797675246020817,90:68;88:68;78:68,90:0.003929197696827036;88:0.0011561069835334947;78:0.0019243249246530814,90:0.003544060984095293;88:0.0012356923881836346;78:0.0018013870215818906
90,63.65594039799404,75.98006449436424,0.037841796875,0.0146484375,36,0.0011072333209851209,0.0011072333209851209,0,0.0011072333209851209,89:68;91:80,89:0.003929197696827036;91:0.0045858555445698335,89:0.003544060984095293;91:0.003227319014178248
91,138.28946408692426,222.60396508789063,0.018310546875,0.000732421875,36,0.0010914802736963693,0.0010914802736963693,0,0.0010914802736963693,98:68;90:80;92:68,98:0.0012927640221481185;90:0.0045858555445698335;92:0.0019151068668642468,98:0.0010258697918923143;90:0.003227319014178248;92:0.0017397457058788979
92,229.1234822876399,238.33004412487813,0.010986328125,0.002197265625,36,0.0003115569635184777,0.0003115569635184777,0,0.0003115569635184777,91:68;93:68,91:0.0019151068668642468;93:0.0027886317807933603,91:0.0017397457058788979;93:0.0021997539015756185
93,257.48156923600607,172.9760733866757,0.011962890625,0.01025390625,36,0.00021226250547607122,0.00021226250547607122,0,0.00021226250547607122,94:68;79:68;92:68,94:0.001866493292305954;79:0.002903431527026712;92:0.0027886317807933603,94:0.001841590936507681;79:0.0026910701332310827;92:0.0021997539015756185
94,258.4519267044868,234.8142357346457,0.01025390625,0.00634765625,36,0.00030104112609344053,0.00030104112609344053,0,0.00030104112609344053,93:68;95:68,93:0.001866493292305954;95:0.002890472975760755,93:0.001841590936507681;95:0.002085897999536318
95,361.8529969845195,545.9993821609364,0.01416015625,0.004150390625,36,0.0008281222568115806,0.0008281222568115806,0,0.0008281222568115806,99:68;94:68,99:0.003574131499284594;94:0.002890472975760755,99:0.003341641341535917;94:0.002085897999536318
96,146.11542816679224,68.75585556389213,0.04052734375,0.0078125,36,0.0005274544593346699,0.0005274544593346699,0,0.0005274544593346699,83:68;103:68,83:0.006754141154095061;103:0.002621920670792671,83:0.0051944431252024525;103:0.0038933129313148684
97,266.4601207441209,104.59728451869827,0.019287109375,0.002197265625,36,0.0002046552830116178,0.0002046552830116178,0,0.0002046552830116178,87:68;107:68,87:0.002397663094656999;107:0.001825576634627346,87:0.00190867388890692;107:0.0015837615475510491
98,229.906043986224,41.21771869827522,0.010498046875,0.0009765625,36,0.00020579345592726687,0.00020579345592726687,0,0.00020579345592726687,91:68;111:68,91:0.0012927640221481185;111:0.0013390725877518717,91:0.0010258697918923143;111:0.0014789708484548858
99,162.77610358548517,41.8680032686649,0.0146484375,0.000732421875,36,0.00025062605466255616,0.00025062605466255616,0,0.00025062605466255616,115:68;95:68,115:0.002760510793877624;95:0.003574131499284594,115:0.0018772320665332298;95:0.003341641341535917
100,116.61647187575463,124.55110747241008,0.017822265625,0.00048828125,36,0.0005458315886990434,0.0005458315886990434,0,0.0005458315886990434,101:68,101:0.0033081180221575524,101:0.0036717203501133444
101,132.67925804453577,64.8990225699073,0.016357421875,0.001708984375,36,0.00019868161805768208,0.00019868161805768208,0,0.00019868161805768208,100:68;116:68;102:68,100:0.0033081180221575524;116:0.004469622574052146;102:0.002700225157728664,100:0.0036717203501133444;116:0.004226425690762564;102:0.005032548068181847
102,87.58110519215711,42.78219533917193,0.036376953125,0.001220703125,36,0.000749776605169474,0.000749776605169474,0,0.000749776605169474,101:68;103:68,101:0.002700225157728664;103:0.002862741575212685,101:0.005032548068181847;103:0.006838319533132936
103,111.33113629958248,54.46896270387374,0.0263671875,0.001220703125,36,0.0003201912919598443,0.0003201912919598443,0,0.0003201912919598443,104:68;96:68;102:68,104:0.005027224780522921;96:0.002621920670792671;102:0.002862741575212685,104:0.007077474642769671;96:0.0038933129313148684;102:0.006838319533132936
104,288.8184582424089,253.50826795120034,0.011474609375,0.002197265625,36,0.0002423519659701322,0.0002423519659701322,0,0.0002423519659701322,103:68;105:68,103:0.005027224780522921;105:0.0015284500243491206,103:0.007077474642769671;105:0.0013432227436697142
105,159.9867583336181,103.11011674672511,0.01171875,0.005615234375,36,0.00033067911734452305,0.00033067911734452305,0,0.00033067911734452305,104:68;106:68;117:68,104:0.0015284500243491206;106:0.0016534419996417915;117:0.0035964743679625377,104:0.0013432227436697142;106:0.0021264004135746195;117:0.002904531222138601
106,282.8262727491271,188.42456635818658,0.019775390625,0.015380859375,36,0.0004147979706498371,0.0004147979706498371,0,0.0004147979706498371,107:68;105:68,107:0.003939181086319965;105:0.0016534419996417915,107:0.0025214988868773047;105:0.0021264004135746195
107,285.2511212163591,227.4387240158124,0.019287109375,0.001220703125,36,0.00016549186280866805,0.00016549186280866805,0,0.00016549186280866805,106:68;108:68;97:68,106:0.003939181086319965;108:0.001996905782677333;97:0.001825576634627346,106:0.0025214988868773047;108:0.002045660292131962;97:0.0015837615475510491
