"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"42","129.8968323986092","40.723809552594545","0.024169921875","0.01904296875","0.029296875","1560","0.0002724964379993425","24","0.0002724964379993425","0","0.0002724964379993425","0.0002724964379993425","41:68;43:68","41:0.002143103767760335;43:0.006040117733544181","41:0.002319660522660222;43:0.007416843089099956","0.024169921875","Yes"
"43","97.03710940563754","63.37560874235642","0.128173828125","0.1220703125","0.13427734375","1560","0.0010621455969069288","24","0.0010621455969069288","0","0.0010621455969069288","0.0010621455969069288","42:68;56:68;44:68","42:0.006040117733544181;56:0.006237104113822889;44:0.022823634188121972","42:0.007416843089099956;56:0.006162099185841374;44:0.02839760582437137","0.128173828125","Yes"
"44","166.07051869447014","159.50903447423534","0.0059814453125","0.0078125","0.002685546875","1560","0.00034401701342371945","24","0.00034401701342371945","0","0.00034401701342371945","0.00034401701342371945","45:68;43:68","45:0.0020510577995355717;43:0.022823634188121972","45:0.0020066402179907405;43:0.02839760582437137","0.0059814453125","Yes"
"45","135.18026539266873","91.88220302811274","0.043701171875","0.04833984375","0.0390625","1560","0.00028868816474784004","24","0.00028868816474784004","0","0.00028868816474784004","0.00028868816474784004","44:68;46:68;37:68","44:0.0020510577995355717;46:0.002875193665773601;37:0.0018483487699551826","44:0.0020066402179907405;46:0.0028473593731100366;37:0.0016924451189244127","0.043701171875","Yes"
"46","163.30724976105287","11.08070924409532","0.0067138671875","0.01025390625","0.003173828125","1560","0.000565953972075859","24","0.000565953972075859","0","0.000565953972075859","0.000565953972075859","45:68;47:68","45:0.002875193665773601;47:0.0024444907810943217","45:0.0028473593731100366;47:0.002407216325208128","0.0067138671875","Yes"
"47","102.68364638918295","51.63107759678767","0.025390625","0.035400390625","0.015380859375","1560","0.0002549590475437538","24","0.0002549590475437538","0","0.0002549590475437538","0.0002549590475437538","48:68;57:68;46:68","48:0.0017823944426606508;57:0.013800056599312632;46:0.0024444907810943217","48:0.0017761687133842075;57:0.0026253578687719104;46:0.002407216325208128","0.025390625","Yes"
"48","122.90487390191399","47.345978281863054","0.0101318359375","0.013671875","0.006591796875","1560","0.00033428576905122567","24","0.00033428576905122567","0","0.00033428576905122567","0.00033428576905122567","47:68;49:68","47:0.0017823944426606508;49:0.0023572227974044957","47:0.0017761687133842075;49:0.014516833576667165","0.0101318359375","Yes"
"49","113.48203795229243","24.601389998819442","0.0438232421875","0.04052734375","0.047119140625","1560","0.0004157193748432123","24","0.0004157193748432123","0","0.0004157193748432123","0.0004157193748432123","48:68;50:68;38:68","48:0.0023572227974044957;50:0.00849225824282332;38:0.0032394320896872164","48:0.014516833576667165;50:0.005025641016990684;38:0.0027399180694498704","0.0438232421875","Yes"
"50","174.0823092030642","154.3601169028429","0.00830078125","0.008056640625","0.008544921875","1560","0.0002868951418773671","24","0.0002868951418773671","0","0.0002868951418773671","0.0002868951418773671","49:68;51:68","49:0.00849225824282332;51:0.00851693410070542","49:0.005025641016990684;51:0.0024802070936037757","0.00830078125","Yes"
"51","110.0877984864195","85.13660774750907","0.1441650390625","0.1083984375","0.179931640625","1560","0.000261090529359574","24","0.000261090529359574","0","0.000261090529359574","0.000261090529359574","50:68;52:68;58:68","50:0.00851693410070542;52:0.0017888836988634582;58:0.0025577952329879083","50:0.0024802070936037757;52:0.0026465796503930827;58:0.002509740747047351","0.1441650390625","Yes"
"52","206.82806072019713","145.90167874666471","0.029296875","0.04150390625","0.01708984375","1560","0.00025545830550462287","24","0.00025545830550462287","0","0.00025545830550462287","0.00025545830550462287","51:68;53:68","51:0.0017888836988634582;53:0.0021361456620094255","51:0.0026465796503930827;53:0.0020401469193988553","0.029296875","Yes"
"53","135.3017002124927","12.54455348269194","0.1522216796875","0.1513671875","0.153076171875","1560","0.000401626141614823","24","0.000401626141614823","0","0.000401626141614823","0.000401626141614823","39:68;52:68;54:68","39:0.0059043218502426165;52:0.0021361456620094255;54:0.004681835421720293","39:0.004295909263283243;52:0.0020401469193988553;54:0.006781184496211817","0.1522216796875","Yes"
"54","100.25356262226795","112.90543047250127","0.0115966796875","0.012451171875","0.0107421875","1560","0.0007055114674573488","24","0.0007055114674573488","0","0.0007055114674573488","0.0007055114674573488","53:68;55:68","53:0.004681835421720293;55:0.002612669385792604","53:0.006781184496211817;55:0.00425581541856998","0.0115966796875","Yes"
"55","152.00349514991973","137.45542605135884","0.1297607421875","0.130126953125","0.12939453125","1560","0.0002976865397225431","24","0.0002976865397225431","0","0.0002976865397225431","0.0002976865397225431","59:68;54:68","59:0.0020209206801636015;54:0.002612669385792604","59:0.0028899740764598003;54:0.00425581541856998","0.1297607421875","Yes"
"56","184.00313216512313","217.7564319228759","0.0166015625","0.017822265625","0.015380859375","1560","0.0004467077805314136","24","0.0004467077805314136","0","0.0004467077805314136","0.0004467077805314136","63:68;43:68","63:0.004619227151271277;43:0.006237104113822889","63:0.005109899365541404;43:0.006162099185841374","0.0166015625","Yes"
"57","139.44343330864052","72.75888629837901","0.0106201171875","0.020263671875","0.0009765625","1560","0.0010178460757172278","24","0.0010178460757172278","0","0.0010178460757172278","0.0010178460757172278","47:68;67:68","47:0.013800056599312632;67:0.03454732347816211","47:0.0026253578687719104;67:0.02710212929468392","0.0106201171875","Yes"
"58","106.4758388617361","122.22036717333647","0.0101318359375","0.017578125","0.002685546875","1560","0.00035707611771333583","24","0.00035707611771333583","0","0.00035707611771333583","0.00035707611771333583","71:68;51:68","71:0.0022935020942840834;51:0.0025577952329879083","71:0.002281032020998608;51:0.002509740747047351","0.0101318359375","Yes"
"59","184.68415451840545","165.3887257988512","0.015380859375","0.017333984375","0.013427734375","1560","0.0003761027390428987","24","0.0003761027390428987","0","0.0003761027390428987","0.0003761027390428987","55:68;75:68","55:0.0020209206801636015;75:0.0034504701900915646","55:0.0028899740764598003;75:0.002893386494168454","0.015380859375","Yes"
"60","133.1229056178256","37.31811638064764","0.0465087890625","0.05712890625","0.035888671875","1560","0.00047687178788132216","24","0.00047687178788132216","0","0.00047687178788132216","0.00047687178788132216","61:68","61:0.0019560931645984936","61:0.0020417524186137626","0.0465087890625","Yes"
"61","213.72898232610495","104.29310531517596","0.0582275390625","0.0751953125","0.042236328125","1560","0.00015949132081847494","24","0.00015949132081847494","0","0.00015949132081847494","0.00015949132081847494","76:68;60:68;62:68","76:0.002556362983203303;60:0.0019560931645984936;62:0.0022964723934455478","76:0.002467019031701323;60:0.0020417524186137626;62:0.0035352272491717407","0.0582275390625","Yes"
"62","105.99105024479061","41.115229940823696","0.030517578125","0.03173828125","0.029296875","1560","0.0005609669590818214","24","0.0005609669590818214","0","0.0005609669590818214","0.0005609669590818214","61:68;63:68","61:0.0022964723934455478;63:0.007047337014702615","61:0.0035352272491717407;63:0.010790159438233277","0.030517578125","Yes"
"63","169.36733350232777","13.41093752628556","0.0765380859375","0.10205078125","0.051025390625","1560","0.0006113131475414266","24","0.0006113131475414266","0","0.0006113131475414266","0.0006113131475414266","56:68;62:68;64:68","56:0.004619227151271277;62:0.007047337014702615;64:0.04874245828389334","56:0.005109899365541404;62:0.010790159438233277;64:0.11193595532690664","0.0765380859375","Yes"
"64","141.62737403337715","127.13874407769774","0.0052490234375","0.009765625","0.000732421875","1560","0.00025936756092559475","24","0.00025936756092559475","0","0.00025936756092559475","0.00025936756092559475","65:68;63:68","65:0.0029811211869696375;63:0.04874245828389334","65:0.003027375842853952;63:0.11193595532690664","0.0052490234375","Yes"
"65","118.49999544983639","74.8568409999175","0.0806884765625","0.10791015625","0.053466796875","1560","0.00040575272530764874","24","0.00040575272530764874","0","0.00040575272530764874","0.00040575272530764874","64:68;66:68;77:68","64:0.0029811211869696375;66:0.0024879758819406628;77:0.004277772619630749","64:0.003027375842853952;66:0.0041311272116485165;77:0.00387843744731603","0.0806884765625","Yes"
"66","115.70739763967126","17.147297464124286","0.0081787109375","0.010009765625","0.00634765625","1560","0.00021068663992178485","24","0.00021068663992178485","0","0.00021068663992178485","0.00021068663992178485","65:68;67:68","65:0.0024879758819406628;67:0.0032270699576392725","65:0.0041311272116485165;67:0.0026986497995093728","0.0081787109375","Yes"
