Qubit,T1 (us),T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rx Error,Gate Length (ns),cz Error,rzz Error
20,124.2952440077924,151.89418534092448,0.014892578125,0.0078125,24,0.000357150473928,0.000357150473928,0.000357150473928,21:68,21:0.006824825714159655,21:0.005637516147798727
21,159.02736893142583,118.82407072543596,0.0146484375,0.005126953125,24,0.0002238126123012,0.0002238126123012,0.0002238126123012,36:68;20:68;22:68,36:0.009646916622369883;20:0.006824825714159655;22:0.005617601698870156,36:0.006454245439071998;20:0.005637516147798727;22:0.002454684190480144
22,191.58158248026984,149.09112040803365,0.008544921875,0.001953125,24,0.0001716172100091,0.0001716172100091,0.0001716172100091,23:68;21:68,23:0.0015794357152492666;21:0.005617601698870156,23:0.0015391496751815392;21:0.002454684190480144
23,134.39289951941998,152.67109196248484,0.008056640625,0.00146484375,24,0.0001794502678947,0.0001794502678947,0.0001794502678947,22:68;24:68;16:68,22:0.0015794357152492666;24:0.007686055652402296;16:0.003716835132373336,22:0.0015391496751815392;24:0.003983345419524664;16:0.0023400441619103873
24,163.91867108048814,183.4583591116135,0.033935546875,0.0107421875,24,0.0008004721194282,0.0008004721194282,0.0008004721194282,23:68;25:68,23:0.007686055652402296;25:0.024879371195916072,23:0.003983345419524664;25:0.01700786866163323
25,57.9089247490841,61.23386485833952,0.029296875,0.030517578125,24,0.0002857310324757,0.0002857310324757,0.0002857310324757,24:68;26:68;37:68,24:0.024879371195916072;26:0.0024106606379249162;37:0.0016328778615250228,24:0.01700786866163323;26:0.0020878356357229844;37:0.0015969148156048663
26,189.57356448452256,124.78452402448366,0.018310546875,0.01123046875,24,0.0002331197189364,0.0002331197189364,0.0002331197189364,25:68;27:68,25:0.0024106606379249162;27:0.025405849306502026,25:0.0020878356357229844;27:0.026704237874697473
27,149.3605375377151,162.5427025360398,0.0234375,0.0107421875,24,0.0035704921582419,0.0035704921582419,0.0035704921582419,26:68;28:68;17:68,26:0.025405849306502026;17:0.023844967399856004,26:0.026704237874697473;28:0.10678648907938582;17:0.03352377111899019
28,123.65914270095996,123.7385871466785,0.01123046875,0.002197265625,24,0.0003187326679173,0.0003187326679173,0.0003187326679173,27:68;29:68,29:0.003481266382108744,27:0.10678648907938582;29:0.0023577661397161387
29,132.11150515325943,46.23657216174786,0.02099609375,0.005859375,24,0.0002313610995725,0.0002313610995725,0.0002313610995725,38:68;28:68;30:68,38:0.0020785083426669015;28:0.003481266382108744;30:0.0023201832412522994,38:0.002233093106189632;28:0.0023577661397161387;30:0.0023043187297928647
30,90.63870323322044,71.1326126953844,0.01025390625,0.00537109375,24,0.000315754661064,0.000315754661064,0.000315754661064,31:68;29:68,31:0.0028996732698023664;29:0.0023201832412522994,31:0.003081528606676681;29:0.0023043187297928647
31,130.79581395394496,37.67669873477201,0.02294921875,0.005126953125,24,0.0005269976039733,0.0005269976039733,0.0005269976039733,30:68;32:68;18:68,30:0.0028996732698023664;32:0.04073058790814563;18:0.004277515130002796,30:0.003081528606676681;32:0.009750962626995041;18:0.005095763467340836
32,144.76405761472657,154.04329037379895,0.033447265625,0.042236328125,24,0.0002829198556654,0.0002829198556654,0.0002829198556654,31:68;33:68,31:0.04073058790814563,31:0.009750962626995041
33,142.3817003019215,92.91949684832338,0.028564453125,0.010498046875,24,0.0001911255357982,0.0001911255357982,0.0001911255357982,39:68;32:68;34:68,39:0.0019783076898204077;34:0.0021916296445476657,39:0.002000216725630638;34:0.0020988831813721076
34,193.8159084090373,87.325674234901,0.01904296875,0.01416015625,24,0.0006688283866584,0.0006688283866584,0.0006688283866584,33:68;35:68,33:0.0021916296445476657;35:0.0017694041229645574,33:0.0020988831813721076;35:0.001713520216926001
35,206.7936082538515,43.66241493397441,0.0224609375,0.0068359375,24,0.0002182434637384,0.0002182434637384,0.0002182434637384,19:68;34:68,19:0.001611409240053624;34:0.0017694041229645574,19:0.001781931595321612;34:0.001713520216926001
36,131.73244774814228,131.0558041524674,0.010986328125,0.01904296875,24,0.0004246854757322,0.0004246854757322,0.0004246854757322,41:68;21:68,41:0.001882751350293671;21:0.009646916622369883,41:0.0023233580099382423;21:0.006454245439071998
37,193.5373350965148,188.62699034857184,0.016845703125,0.004638671875,24,0.000448182616414,0.000448182616414,0.000448182616414,45:68;25:68,45:0.0018483487699551826;25:0.0016328778615250228,45:0.0016924451189244127;25:0.0015969148156048663
