Qubit,T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rz Error,rx Error,Gate Length (ns),cz Error,rzz Error
41,34.769281396402086,0.020751953125,0.00146484375,36,0.0002951853827704,0.0002951853827704,0,0.0002951853827704,40:68;42:68;36:68,40:0.12736938212920157;42:0.00339127681130591;36:0.0035173163717467926,40:0.09777406473452982;42:0.004104585051760146;36:0.00235961470768159
42,58.22229879939018,0.01416015625,0.00341796875,36,0.0004014067798577,0.0004014067798577,0,0.0004014067798577,41:68;43:68,41:0.00339127681130591;43:0.005040151850038921,41:0.004104585051760146;43:0.0037783580704660313
43,96.25273029042653,0.022216796875,0.003173828125,36,0.0002076214504285,0.0002076214504285,0,0.0002076214504285,42:68;56:68;44:68,42:0.005040151850038921;56:0.002307819034086528;44:0.0016117207167304082,42:0.0037783580704660313;56:0.002287345085868725;44:0.0023843021814088095
44,200.9930858580451,0.0185546875,0.021484375,36,0.0004379592195258,0.0004379592195258,0,0.0004379592195258,45:68;43:68,45:0.0028373499772687827;43:0.0016117207167304082,45:0.0026267180612797036;43:0.0023843021814088095
45,83.06519112595117,0.029541015625,0.00341796875,36,0.0003686995994822,0.0003686995994822,0,0.0003686995994822,44:68;46:68;37:68,44:0.0028373499772687827;46:0.003821830930803266;37:0.004052317352922025,44:0.0026267180612797036;46:0.003402466603427051;37:0.004178338221221906
46,97.77775453438116,0.057861328125,0.007568359375,36,0.0002373579646934,0.0002373579646934,0,0.0002373579646934,45:68;47:68,45:0.003821830930803266;47:0.0020208117111265578,45:0.003402466603427051;47:0.0031666621447831445
47,217.5659530375676,0.02001953125,0.033935546875,36,0.0002718081495123,0.0002718081495123,0,0.0002718081495123,48:68;57:68;46:68,48:0.008826548632251713;57:0.0024099866982909834;46:0.0020208117111265578,48:0.00706365691037672;57:0.001496617021083002;46:0.0031666621447831445
48,54.23738497701584,0.174560546875,0.059326171875,36,0.002728691029881,0.002728691029881,0,0.002728691029881,47:68;49:68,47:0.008826548632251713;49:0.010572313001853267,47:0.00706365691037672;49:0.006562172087595297
49,118.09719854401862,0.01171875,0.009521484375,36,0.0002491472997835,0.0002491472997835,0,0.0002491472997835,48:68;50:68;38:68,48:0.010572313001853267;50:0.002650618729429649;38:0.0032501461063180193,48:0.006562172087595297;50:0.0019408242195479986;38:0.0020707773527877116
50,246.8977041065268,0.01953125,0.004638671875,36,0.000238770937802,0.000238770937802,0,0.000238770937802,49:68;51:68,49:0.002650618729429649;51:0.0016025989089069048,49:0.0019408242195479986;51:0.0018395859533477665
51,377.228519339048,0.124755859375,0.038818359375,36,0.000180190354646,0.000180190354646,0,0.000180190354646,50:68;52:68;58:68,50:0.0016025989089069048;52:0.0027590913811905704;58:0.001791177306929348,50:0.0018395859533477665;52:0.002716659008682898;58:0.003927530176708133
52,158.89305404457787,0.01318359375,0.002685546875,36,0.0004367156337326,0.0004367156337326,0,0.0004367156337326,51:68;53:68,51:0.0027590913811905704;53:0.0028277111229011997,51:0.002716659008682898;53:0.0024154458320157224
53,257.5676745390567,0.021484375,0.001953125,36,0.0001949177052151,0.0001949177052151,0,0.0001949177052151,39:68;52:68;54:68,39:0.00186111096576283;52:0.0028277111229011997;54:0.0012638291358605669,39:0.0016666876278957632;52:0.0024154458320157224;54:0.0015013024184701573
54,256.0184112936334,0.0087890625,0.00244140625,36,0.0001240232566972,0.0001240232566972,0,0.0001240232566972,53:68;55:68,53:0.0012638291358605669;55:0.0016610193566561349,53:0.0015013024184701573;55:0.001349436448974256
